x;y;u;v;column;row
0.0000;0.0000;0.0024;-0.0004;0;0
0.0345;0.0000;0.0365;-0.0002;1;0
0.0690;0.0000;0.0707;-0.0001;2;0
0.1034;0.0000;0.1049;-0.0000;3;0
0.1379;0.0000;0.1391;-0.0000;4;0
0.1724;0.0000;0.1734;-0.0000;5;0
0.2069;0.0000;0.2077;-0.0001;6;0
0.2414;0.0000;0.2420;-0.0002;7;0
0.2759;0.0000;0.2764;-0.0002;8;0
0.3103;0.0000;0.3108;-0.0003;9;0
0.3448;0.0000;0.3452;-0.0004;10;0
0.3793;0.0000;0.3796;-0.0004;11;0
0.4138;0.0000;0.4141;-0.0005;12;0
0.4483;0.0000;0.4485;-0.0005;13;0
0.4828;0.0000;0.4830;-0.0005;14;0
0.5172;0.0000;0.5175;-0.0005;15;0
0.5517;0.0000;0.5520;-0.0005;16;0
0.5862;0.0000;0.5865;-0.0005;17;0
0.6207;0.0000;0.6210;-0.0004;18;0
0.6552;0.0000;0.6555;-0.0003;19;0
0.6897;0.0000;0.6900;-0.0003;20;0
0.7241;0.0000;0.7245;-0.0002;21;0
0.7586;0.0000;0.7590;-0.0001;22;0
0.7931;0.0000;0.7934;-0.0001;23;0
0.8276;0.0000;0.8278;0.0000;24;0
0.8621;0.0000;0.8622;0.0001;25;0
0.8966;0.0000;0.8966;0.0002;26;0
0.9310;0.0000;0.9309;0.0002;27;0
0.9655;0.0000;0.9652;0.0003;28;0
1.0000;0.0000;0.9995;0.0003;29;0
0.0000;0.0526;0.0017;0.0527;0;1
0.0345;0.0526;0.0359;0.0528;1;1
0.0690;0.0526;0.0701;0.0529;2;1
0.1034;0.0526;0.1044;0.0529;3;1
0.1379;0.0526;0.1387;0.0529;4;1
0.1724;0.0526;0.1730;0.0529;5;1
0.2069;0.0526;0.2073;0.0528;6;1
0.2414;0.0526;0.2417;0.0527;7;1
0.2759;0.0526;0.2761;0.0526;8;1
0.3103;0.0526;0.3105;0.0525;9;1
0.3448;0.0526;0.3449;0.0524;10;1
0.3793;0.0526;0.3794;0.0524;11;1
0.4138;0.0526;0.4139;0.0523;12;1
0.4483;0.0526;0.4484;0.0523;13;1
0.4828;0.0526;0.4829;0.0523;14;1
0.5172;0.0526;0.5174;0.0523;15;1
0.5517;0.0526;0.5519;0.0523;16;1
0.5862;0.0526;0.5864;0.0523;17;1
0.6207;0.0526;0.6209;0.0523;18;1
0.6552;0.0526;0.6554;0.0524;19;1
0.6897;0.0526;0.6899;0.0524;20;1
0.7241;0.0526;0.7244;0.0525;21;1
0.7586;0.0526;0.7589;0.0526;22;1
0.7931;0.0526;0.7933;0.0526;23;1
0.8276;0.0526;0.8278;0.0527;24;1
0.8621;0.0526;0.8622;0.0527;25;1
